Customer Id,prediction
Q5OK4L2Q5XNH,0.97146994
CBHVMVE7TRP5,0.9959781
9UGHQ91U4F0M,0.04716523
3UWXWMZK4ZGL,0.9943626
5CGEMLMBOPES,0.06511989
SPJ0K6KGDGN7,0.17485902
9EFRT3UC3PDN,0.71210444
7BH09UOH5SVF,0.12702325
VYY6N0NLM8UE,0.11948932
NVER903056B7,0.24652909
WRHLQZGSZ8L6,0.14840294
FU9LL0FQCNOP,0.12831405
PC4N9XPMSQSA,0.00862128
5N6XLMQL0V3K,0.89939106
EG7O0UFBKDUG,0.074501954
PY0ZWYLSCJZN,0.035672933
N1UGI6V7H2WF,0.035553943
MZOC6IE8IMNV,0.99720156
HDPPLWUTUDQ1,0.9950899
ZCOU6WAGN26Y,0.09675035
MHVC11TV0MGA,0.64352673
WI63WG1KBKZ6,0.34110174
T2IZWIEZDJ0C,0.10275693
R0D8BZ9552RG,0.08029179
SA7E3RJY86MZ,0.053377397
XDNO84VA3P7H,0.27174407
5XA7H43SW76F,0.08844919
ZP06NQEP3Z6K,0.03413807
AY113SQ9H4BJ,0.9903529
HLT8JUJLAJEF,0.13647945
Z2SZEAUNILWX,0.040723473
T3LZ5Y77PTZA,0.088078335
CPE6L9FCCPOI,0.97868323
2WFF7OD1QSBB,0.99975187
40ZCZ5JB1EBG,0.29894423
9UJEWJSQ3LT1,0.28944016
1OUNUKM23I42,0.7516204
XU3RFC2L0LZG,0.989597
UHEDKKMNF58W,0.99018353
9YWZ8J7UCMQ7,0.013354017
4T2SO9DSWH9E,0.6027146
33E7RTVWQ3FN,0.10275693
M9AQOH3SYYBR,0.104487784
FUTCMN69MGAH,0.010507126
W9XOYIFUQPW4,0.26178586
JO9BNZRBO0CA,0.9693477
X72IQEIU1QKM,0.77022344
VCV8VAM4N7HS,0.5931177
MI48MY1LTM4M,0.021161282
WA6DE0HPRBMB,0.04622185
2YRA9VKRZOQE,0.078063615
97I94WYVT5PC,0.7510779
FSM0JLCCR7AY,0.17054676
UPHJGLQV45WW,0.37362662
KW9LR65SYQGF,0.17324816
DQOTO5YKORYK,0.06842466
UCXCBC9USUDU,0.36939636
7Z0GRZCXFSZ1,0.0021752685
5CL12W44TUOV,0.0043966803
YAW9ZQTN585R,0.21942928
45RRIO9P4RJC,0.1749265
VGK40ERV74UP,0.066480905
KG6S0570ID9R,0.015457217
5BXS7ANQ514H,0.29250014
H77VQDOX554E,0.080523424
YRCFUBSU5D1G,0.07778298
0ULO02BLHX2H,0.5285593
B2SW8YEOZ708,0.0060233218
601HAL683PXN,0.038435135
FOM5OYRTB2CG,0.11948932
9SNEPC1R7A40,0.48040774
3YP8RJO1M9BF,0.12831405
FTF7UYBXX3WN,0.100785084
WV1LJL1E1TQG,0.30179805
1BXKLACYUD7N,0.97884446
K8OV1RBD6NAS,0.0111272745
VR5BX4ZDA6HO,0.23283513
VZY3703GOWWB,0.27519497
FFL9C6CIZ6IQ,0.05378428
5FUE0YKFHXD6,0.0732914
YA6XB9JXFHKQ,0.904627
3VU3ECMYJFFD,0.2597785
VB20LQQ6BD8E,0.049665794
CRBUKGWCBAJI,0.60653484
0TT54U36ZJAU,0.083589666
GZHYLL80A15A,0.027184095
YEJ1ZAEG328N,0.37303412
3CTD0580ZN2W,0.7472663
TEORBES9MBU1,0.023987351
G71B80T0KII9,0.119772345
1H0DXXO2LL8V,0.041028894
J9WRU0F6GX4Y,0.027184095
4EY5NHSX2D90,0.0069262395
RGA4IJAMKB11,0.99652666
PTYYTFT7Y0T0,0.12930231
9YQ73D4EFSTU,0.904627
BGP67X6XEUEH,0.5690863
8MFFQE4I8RAD,0.974568
8QE237RPLQ6O,0.024910396
EY3QB8SUBXC6,0.97121924
EV6WYCP9JSVM,0.044519573
6UMOLSY0CD7Y,0.0005759584
NAVEVOGULGOO,0.1355759
2SLGKXO0J0TO,0.99801946
MPVN5UNQO77G,0.134236
BY11TELFYIFB,0.017920483
SY6GNRWBUOER,0.97628003
C0MEQCRKBKMZ,0.9879752
ZA5J3V6X1ZLA,0.23971227
TOQ7FFYEEDC1,0.25351593
T4IUC96SKJYH,0.9819936
D15H6GCWV42R,0.059151392
G3BLZLUFDTXE,0.24594481
JFCM42IC7AGV,0.19143005
PJCGECEOKQU0,0.094701245
9YPBEJBQQ2IM,0.32344997
PIZK163UW49S,0.9635704
83TIUUHFRH0I,0.09032269
TVA98UGCJLXL,0.95386887
LS0C4TNGHYDN,0.28198734
HKJO9TV9CIFS,0.816456
A3H6VIJ8EBSG,0.071907304
SQM0J39NJV7Z,0.9691445
3REX0554TY45,0.159392
W3TZJLZIBYOZ,0.089936696
NZVQDMDE7PG5,0.9833587
6C7IF04G8CTP,0.0062677697
0GP2EQWIGAB8,0.0040397407
AKPYR0SWUP51,0.1582074
SUZLRXQ1D72A,0.26178586
28QDD1Z8V8JB,0.08712697
SZ2H5UGLUC8G,0.7444946
5D3483DC72BM,0.9598979
FMG5DBT7OTH3,0.99104416
SMTJZVC119IW,0.28944016
IM3WRLREKPL6,0.9844354
7KV1GJ03X8W5,0.080523424
YNB3PHEUX049,0.32767236
P5N2FU3LRAER,0.7316418
VUPDVNKWD45Z,0.010035755
J5MN02VDHC0H,0.080523424
GWTRYW3GSTGA,0.89612556
K49CAO9SY5WA,0.23865443
SDBSMCGDYUZF,0.0035836296
OMI0X9YUCUN0,0.063592985
PHVNF2GQARPU,0.07703176
GLQ2UYGF3L3R,0.25255755
UK3LHF4NDDKN,0.051707614
2CU0D33Y1Q4R,0.99647635
N34G2ZVTVA2D,0.073797114
7G3PPXCQ644V,0.17656499
1XP6QTS4WIM7,0.09675035
